code,x,y,pattern,iteration
0,0,-2,4,0,2
00,01,0,4,0,2
01,00,-2,2,0,3
01,01,0,2,0,3
000,001,-1,4,0,2
001,000,-2,3,0,2
001,001,-1,3,0,3
0000,0001,-1.5,4,0,2
0001,0000,-2,3.5,0,2
0001,0001,-1.5,3.5,0,2
00000,00001,-1.75,4,0,2
00001,00000,-2,3.75,0,2
00001,00001,-1.75,3.75,0,2
000000,000001,-1.875,4,0,2
000001,000000,-2,3.875,0,2
000001,000001,-1.875,3.875,0,2
0000000,0000001,-1.9375,4,0,2
0000001,0000000,-2,3.9375,0,2
0000001,0000001,-1.9375,3.9375,0,2
00000000,00000001,-1.96875,4,0,2
00000001,00000000,-2,3.96875,0,2
00000001,00000001,-1.96875,3.96875,0,2
00000000,00000011,-1.90625,4,0,2
00000001,00000010,-1.9375,3.96875,0,2
00000001,00000011,-1.90625,3.96875,0,2
00000010,00000001,-1.96875,3.9375,0,2
00000011,00000000,-2,3.90625,0,2
00000011,00000001,-1.96875,3.90625,0,2
00000010,00000011,-1.90625,3.9375,0,2
00000011,00000010,-1.9375,3.90625,0,2
00000011,00000011,-1.90625,3.90625,0,2
0000000,0000011,-1.8125,4,0,2
0000001,0000010,-1.875,3.9375,0,2
0000001,0000011,-1.8125,3.9375,0,2
00000000,00000101,-1.84375,4,0,2
00000001,00000100,-1.875,3.96875,0,2
00000001,00000101,-1.84375,3.96875,0,2
00000000,00000111,-1.78125,4,0,2
00000001,00000110,-1.8125,3.96875,0,2
00000001,00000111,-1.78125,3.96875,0,2
00000010,00000101,-1.84375,3.9375,0,2
00000011,00000100,-1.875,3.90625,0,2
00000011,00000101,-1.84375,3.90625,0,2
00000010,00000111,-1.78125,3.9375,0,2
00000011,00000110,-1.8125,3.90625,0,2
00000011,00000111,-1.78125,3.90625,0,2
0000010,0000001,-1.9375,3.875,0,2
0000011,0000000,-2,3.8125,0,2
0000011,0000001,-1.9375,3.8125,0,2
00000100,00000001,-1.96875,3.875,0,2
00000101,00000000,-2,3.84375,0,2
00000101,00000001,-1.96875,3.84375,0,2
00000100,00000011,-1.90625,3.875,0,2
00000101,00000010,-1.9375,3.84375,0,2
00000101,00000011,-1.90625,3.84375,0,2
00000110,00000001,-1.96875,3.8125,0,2
00000111,00000000,-2,3.78125,0,2
00000111,00000001,-1.96875,3.78125,0,2
00000110,00000011,-1.90625,3.8125,0,2
00000111,00000010,-1.9375,3.78125,0,2
00000111,00000011,-1.90625,3.78125,0,2
0000010,0000011,-1.8125,3.875,0,2
0000011,0000010,-1.875,3.8125,0,2
0000011,0000011,-1.8125,3.8125,0,2
00000100,00000101,-1.84375,3.875,0,2
00000101,00000100,-1.875,3.84375,0,2
00000101,00000101,-1.84375,3.84375,0,2
00000100,00000111,-1.78125,3.875,0,2
00000101,00000110,-1.8125,3.84375,0,2
00000101,00000111,-1.78125,3.84375,0,2
00000110,00000101,-1.84375,3.8125,0,2
00000111,00000100,-1.875,3.78125,0,2
00000111,00000101,-1.84375,3.78125,0,2
00000110,00000111,-1.78125,3.8125,0,2
00000111,00000110,-1.8125,3.78125,0,2
00000111,00000111,-1.78125,3.78125,0,2
000000,000011,-1.625,4,0,2
000001,000010,-1.75,3.875,0,2
000001,000011,-1.625,3.875,0,2
0000000,0000101,-1.6875,4,0,2
0000001,0000100,-1.75,3.9375,0,2
0000001,0000101,-1.6875,3.9375,0,2
00000000,00001001,-1.71875,4,0,2
00000001,00001000,-1.75,3.96875,0,2
00000001,00001001,-1.71875,3.96875,0,2
00000000,00001011,-1.65625,4,0,2
00000001,00001010,-1.6875,3.96875,0,2
00000001,00001011,-1.65625,3.96875,0,2
00000010,00001001,-1.71875,3.9375,0,2
00000011,00001000,-1.75,3.90625,0,2
00000011,00001001,-1.71875,3.90625,0,2
00000010,00001011,-1.65625,3.9375,0,2
00000011,00001010,-1.6875,3.90625,0,2
00000011,00001011,-1.65625,3.90625,0,2
0000000,0000111,-1.5625,4,0,2
0000001,0000110,-1.625,3.9375,0,2
0000001,0000111,-1.5625,3.9375,0,2
00000000,00001101,-1.59375,4,0,2
00000001,00001100,-1.625,3.96875,0,2
00000001,00001101,-1.59375,3.96875,0,2
00000000,00001111,-1.53125,4,0,2
00000001,00001110,-1.5625,3.96875,0,2
00000001,00001111,-1.53125,3.96875,0,2
00000010,00001101,-1.59375,3.9375,0,2
00000011,00001100,-1.625,3.90625,0,2
00000011,00001101,-1.59375,3.90625,0,2
00000010,00001111,-1.53125,3.9375,0,2
00000011,00001110,-1.5625,3.90625,0,2
00000011,00001111,-1.53125,3.90625,0,2
0000010,0000101,-1.6875,3.875,0,2
0000011,0000100,-1.75,3.8125,0,2
0000011,0000101,-1.6875,3.8125,0,2
00000100,00001001,-1.71875,3.875,0,2
00000101,00001000,-1.75,3.84375,0,2
00000101,00001001,-1.71875,3.84375,0,2
00000100,00001011,-1.65625,3.875,0,2
00000101,00001010,-1.6875,3.84375,0,2
00000101,00001011,-1.65625,3.84375,0,2
00000110,00001001,-1.71875,3.8125,0,2
00000111,00001000,-1.75,3.78125,0,2
00000111,00001001,-1.71875,3.78125,0,2
00000110,00001011,-1.65625,3.8125,0,2
00000111,00001010,-1.6875,3.78125,0,2
00000111,00001011,-1.65625,3.78125,0,2
0000010,0000111,-1.5625,3.875,0,2
0000011,0000110,-1.625,3.8125,0,2
0000011,0000111,-1.5625,3.8125,0,2
00000100,00001101,-1.59375,3.875,0,2
00000101,00001100,-1.625,3.84375,0,2
00000101,00001101,-1.59375,3.84375,0,2
00000100,00001111,-1.53125,3.875,0,2
00000101,00001110,-1.5625,3.84375,0,2
00000101,00001111,-1.53125,3.84375,0,2
00000110,00001101,-1.59375,3.8125,0,2
00000111,00001100,-1.625,3.78125,0,2
00000111,00001101,-1.59375,3.78125,0,2
00000110,00001111,-1.53125,3.8125,0,2
00000111,00001110,-1.5625,3.78125,0,2
00000111,00001111,-1.53125,3.78125,0,2
000010,000001,-1.875,3.75,0,2
000011,000000,-2,3.625,0,2
000011,000001,-1.875,3.625,0,2
0000100,0000001,-1.9375,3.75,0,2
0000101,0000000,-2,3.6875,0,2
0000101,0000001,-1.9375,3.6875,0,2
00001000,00000001,-1.96875,3.75,0,2
00001001,00000000,-2,3.71875,0,2
00001001,00000001,-1.96875,3.71875,0,2
00001000,00000011,-1.90625,3.75,0,2
00001001,00000010,-1.9375,3.71875,0,2
00001001,00000011,-1.90625,3.71875,0,2
00001010,00000001,-1.96875,3.6875,0,2
00001011,00000000,-2,3.65625,0,2
00001011,00000001,-1.96875,3.65625,0,2
00001010,00000011,-1.90625,3.6875,0,2
00001011,00000010,-1.9375,3.65625,0,2
00001011,00000011,-1.90625,3.65625,0,2
0000100,0000011,-1.8125,3.75,0,2
0000101,0000010,-1.875,3.6875,0,2
0000101,0000011,-1.8125,3.6875,0,2
00001000,00000101,-1.84375,3.75,0,2
00001001,00000100,-1.875,3.71875,0,2
00001001,00000101,-1.84375,3.71875,0,2
00001000,00000111,-1.78125,3.75,0,2
00001001,00000110,-1.8125,3.71875,0,2
00001001,00000111,-1.78125,3.71875,0,2
00001010,00000101,-1.84375,3.6875,0,2
00001011,00000100,-1.875,3.65625,0,2
00001011,00000101,-1.84375,3.65625,0,2
00001010,00000111,-1.78125,3.6875,0,2
00001011,00000110,-1.8125,3.65625,0,2
